tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2017-01-01,DKI1 (Bunderan HI),63.0,34.0,25.0,21.0,2.0,63.0,PM10,SEDANG
2017-01-02,DKI1 (Bunderan HI),16.0,32.0,16.0,19.0,1.0,32.0,SO2,BAIK
2017-01-03,DKI1 (Bunderan HI),18.0,32.0,17.0,20.0,2.0,32.0,SO2,BAIK
2017-01-04,DKI1 (Bunderan HI),24.0,32.0,22.0,20.0,2.0,32.0,SO2,BAIK
2017-01-05,DKI1 (Bunderan HI),29.0,32.0,25.0,14.0,2.0,32.0,SO2,BAIK
2017-01-06,DKI1 (Bunderan HI),21.0,31.0,24.0,18.0,2.0,31.0,SO2,BAIK
2017-01-07,DKI1 (Bunderan HI),30.0,32.0,22.0,17.0,3.0,32.0,SO2,BAIK
2017-01-08,DKI1 (Bunderan HI),29.0,33.0,17.0,19.0,2.0,33.0,SO2,BAIK
2017-01-09,DKI1 (Bunderan HI),29.0,32.0,23.0,13.0,2.0,32.0,SO2,BAIK
2017-01-10,DKI1 (Bunderan HI),38.0,32.0,34.0,21.0,4.0,38.0,PM10,BAIK
2017-01-11,DKI1 (Bunderan HI),25.0,32.0,25.0,20.0,2.0,32.0,SO2,BAIK
2017-01-12,DKI1 (Bunderan HI),29.0,32.0,23.0,17.0,2.0,32.0,SO2,BAIK
2017-01-13,DKI1 (Bunderan HI),29.0,32.0,19.0,12.0,1.0,32.0,SO2,BAIK
2017-01-14,DKI1 (Bunderan HI),22.0,31.0,17.0,13.0,1.0,31.0,SO2,BAIK
2017-01-15,DKI1 (Bunderan HI),27.0,32.0,16.0,17.0,1.0,32.0,SO2,BAIK
2017-01-18,DKI1 (Bunderan HI),24.0,28.0,19.0,14.0,1.0,28.0,SO2,BAIK
2017-01-27,DKI1 (Bunderan HI),47.0,14.0,24.0,22.0,2.0,47.0,PM10,BAIK
2017-01-28,DKI1 (Bunderan HI),32.0,13.0,23.0,18.0,3.0,32.0,PM10,BAIK
2017-01-29,DKI1 (Bunderan HI),35.0,12.0,25.0,19.0,2.0,35.0,PM10,BAIK
2017-01-30,DKI1 (Bunderan HI),33.0,12.0,21.0,19.0,2.0,33.0,PM10,BAIK
2017-01-31,DKI1 (Bunderan HI),31.0,12.0,23.0,20.0,2.0,31.0,PM10,BAIK
2017-01-01,DKI2 (Kelapa Gading),52.0,21.0,11.0,61.0,11.0,61.0,O3,SEDANG
2017-01-02,DKI2 (Kelapa Gading),27.0,18.0,5.0,40.0,15.0,40.0,O3,BAIK
2017-01-03,DKI2 (Kelapa Gading),32.0,18.0,7.0,55.0,10.0,55.0,O3,SEDANG
2017-01-05,DKI2 (Kelapa Gading),28.0,16.0,6.0,57.0,12.0,57.0,O3,SEDANG
2017-01-06,DKI2 (Kelapa Gading),29.0,17.0,11.0,62.0,13.0,62.0,O3,SEDANG
2017-01-07,DKI2 (Kelapa Gading),31.0,18.0,11.0,55.0,20.0,55.0,O3,SEDANG
2017-01-08,DKI2 (Kelapa Gading),28.0,19.0,7.0,52.0,14.0,52.0,O3,SEDANG
2017-01-09,DKI2 (Kelapa Gading),25.0,18.0,6.0,48.0,11.0,48.0,O3,BAIK
2017-01-10,DKI2 (Kelapa Gading),42.0,23.0,11.0,83.0,16.0,83.0,O3,SEDANG
2017-01-11,DKI2 (Kelapa Gading),33.0,18.0,11.0,65.0,20.0,65.0,O3,SEDANG
2017-01-12,DKI2 (Kelapa Gading),29.0,18.0,12.0,65.0,19.0,65.0,O3,SEDANG
2017-01-13,DKI2 (Kelapa Gading),25.0,17.0,8.0,29.0,5.0,29.0,O3,BAIK
2017-01-14,DKI2 (Kelapa Gading),21.0,16.0,8.0,29.0,6.0,29.0,O3,BAIK
2017-01-15,DKI2 (Kelapa Gading),13.0,17.0,8.0,42.0,7.0,42.0,O3,BAIK
2017-01-16,DKI2 (Kelapa Gading),17.0,17.0,7.0,34.0,6.0,34.0,O3,BAIK
2017-01-17,DKI2 (Kelapa Gading),18.0,18.0,30.0,48.0,14.0,48.0,O3,BAIK
2017-01-20,DKI2 (Kelapa Gading),22.0,18.0,5.0,30.0,6.0,30.0,O3,BAIK
2017-01-21,DKI2 (Kelapa Gading),40.0,23.0,9.0,39.0,10.0,40.0,PM10,BAIK
2017-01-22,DKI2 (Kelapa Gading),37.0,18.0,7.0,32.0,11.0,37.0,PM10,BAIK
2017-01-24,DKI2 (Kelapa Gading),32.0,22.0,7.0,34.0,15.0,34.0,O3,BAIK
2017-01-25,DKI2 (Kelapa Gading),26.0,20.0,7.0,34.0,15.0,34.0,O3,BAIK
2017-01-27,DKI2 (Kelapa Gading),34.0,22.0,10.0,49.0,14.0,49.0,O3,BAIK
2017-01-28,DKI2 (Kelapa Gading),26.0,22.0,9.0,49.0,10.0,49.0,O3,BAIK
2017-01-29,DKI2 (Kelapa Gading),31.0,20.0,5.0,48.0,10.0,48.0,O3,BAIK
2017-01-30,DKI2 (Kelapa Gading),22.0,21.0,11.0,38.0,9.0,38.0,O3,BAIK
2017-01-31,DKI2 (Kelapa Gading),32.0,21.0,11.0,32.0,18.0,32.0,PM10,BAIK
2017-01-01,DKI3 (Jagakarsa),73.0,31.0,19.0,33.0,5.0,73.0,PM10,SEDANG
2017-01-02,DKI3 (Jagakarsa),39.0,29.0,4.0,33.0,3.0,39.0,PM10,BAIK
2017-01-03,DKI3 (Jagakarsa),51.0,30.0,7.0,36.0,3.0,51.0,PM10,SEDANG
2017-01-04,DKI3 (Jagakarsa),45.0,33.0,7.0,63.0,7.0,63.0,O3,SEDANG
2017-01-05,DKI3 (Jagakarsa),54.0,30.0,16.0,68.0,9.0,68.0,O3,SEDANG
2017-01-06,DKI3 (Jagakarsa),34.0,30.0,9.0,65.0,8.0,65.0,O3,SEDANG
2017-01-07,DKI3 (Jagakarsa),48.0,31.0,5.0,62.0,4.0,62.0,O3,SEDANG
2017-01-08,DKI3 (Jagakarsa),37.0,31.0,10.0,52.0,5.0,52.0,O3,SEDANG
2017-01-09,DKI3 (Jagakarsa),30.0,31.0,6.0,68.0,4.0,68.0,O3,SEDANG
2017-01-10,DKI3 (Jagakarsa),54.0,32.0,21.0,66.0,9.0,66.0,O3,SEDANG
2017-01-11,DKI3 (Jagakarsa),40.0,30.0,13.0,54.0,9.0,54.0,O3,SEDANG
2017-01-12,DKI3 (Jagakarsa),22.0,30.0,7.0,32.0,3.0,32.0,O3,BAIK
2017-01-13,DKI3 (Jagakarsa),22.0,29.0,3.0,29.0,1.0,29.0,SO2,BAIK
2017-01-14,DKI3 (Jagakarsa),23.0,29.0,4.0,29.0,1.0,29.0,SO2,BAIK
2017-01-17,DKI3 (Jagakarsa),15.0,29.0,4.0,31.0,2.0,31.0,O3,BAIK
2017-01-18,DKI3 (Jagakarsa),26.0,29.0,7.0,30.0,4.0,30.0,O3,BAIK
2017-01-20,DKI3 (Jagakarsa),27.0,30.0,5.0,30.0,4.0,30.0,SO2,BAIK
2017-01-21,DKI3 (Jagakarsa),47.0,32.0,10.0,55.0,4.0,55.0,O3,SEDANG
2017-01-22,DKI3 (Jagakarsa),54.0,32.0,10.0,50.0,5.0,54.0,PM10,SEDANG
2017-01-23,DKI3 (Jagakarsa),45.0,33.0,6.0,48.0,4.0,48.0,O3,BAIK
2017-01-26,DKI3 (Jagakarsa),39.0,32.0,7.0,53.0,3.0,53.0,O3,SEDANG
2017-01-27,DKI3 (Jagakarsa),57.0,33.0,13.0,60.0,8.0,60.0,O3,SEDANG
2017-01-28,DKI3 (Jagakarsa),41.0,31.0,10.0,44.0,4.0,44.0,O3,BAIK
2017-01-29,DKI3 (Jagakarsa),27.0,30.0,9.0,32.0,5.0,32.0,O3,BAIK
2017-01-30,DKI3 (Jagakarsa),30.0,31.0,14.0,54.0,2.0,54.0,O3,SEDANG
2017-01-31,DKI3 (Jagakarsa),32.0,31.0,8.0,41.0,4.0,41.0,O3,BAIK
2017-01-01,DKI4 (Lubang Buaya),69.0,27.0,23.0,54.0,5.0,69.0,PM10,SEDANG
2017-01-02,DKI4 (Lubang Buaya),35.0,26.0,7.0,36.0,4.0,36.0,O3,BAIK
2017-01-04,DKI4 (Lubang Buaya),51.0,26.0,13.0,87.0,7.0,87.0,O3,SEDANG
2017-01-05,DKI4 (Lubang Buaya),48.0,27.0,16.0,67.0,9.0,67.0,O3,SEDANG
2017-01-06,DKI4 (Lubang Buaya),38.0,26.0,10.0,64.0,7.0,64.0,O3,SEDANG
2017-01-07,DKI4 (Lubang Buaya),32.0,26.0,11.0,67.0,5.0,67.0,O3,SEDANG
2017-01-08,DKI4 (Lubang Buaya),43.0,28.0,14.0,54.0,5.0,54.0,O3,SEDANG
2017-01-09,DKI4 (Lubang Buaya),38.0,27.0,10.0,55.0,4.0,55.0,O3,SEDANG
2017-01-10,DKI4 (Lubang Buaya),59.0,27.0,14.0,48.0,8.0,59.0,PM10,SEDANG
2017-01-11,DKI4 (Lubang Buaya),49.0,27.0,12.0,48.0,7.0,49.0,PM10,BAIK
2017-01-12,DKI4 (Lubang Buaya),25.0,26.0,7.0,26.0,5.0,26.0,SO2,BAIK
2017-01-13,DKI4 (Lubang Buaya),19.0,27.0,4.0,16.0,3.0,27.0,SO2,BAIK
2017-01-14,DKI4 (Lubang Buaya),21.0,27.0,4.0,16.0,3.0,27.0,SO2,BAIK
2017-01-15,DKI4 (Lubang Buaya),29.0,27.0,12.0,27.0,4.0,29.0,PM10,BAIK
2017-01-17,DKI4 (Lubang Buaya),20.0,27.0,4.0,26.0,3.0,27.0,SO2,BAIK
