tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2017-01-01,DKI1 (Bunderan HI),63,34,25,21,2,63.0,PM10,SEDANG
2017-01-02,DKI1 (Bunderan HI),16,32,16,19,1,32.0,SO2,BAIK
2017-01-03,DKI1 (Bunderan HI),18,32,17,20,2,32.0,SO2,BAIK
2017-01-04,DKI1 (Bunderan HI),24,32,22,20,2,32.0,SO2,BAIK
2017-01-05,DKI1 (Bunderan HI),29,32,25,14,2,32.0,SO2,BAIK
2017-01-06,DKI1 (Bunderan HI),21,31,24,18,2,31.0,SO2,BAIK
2017-01-07,DKI1 (Bunderan HI),30,32,22,17,3,32.0,SO2,BAIK
2017-01-08,DKI1 (Bunderan HI),29,33,17,19,2,33.0,SO2,BAIK
2017-01-09,DKI1 (Bunderan HI),29,32,23,13,2,32.0,SO2,BAIK
2017-01-10,DKI1 (Bunderan HI),38,32,34,21,4,38.0,PM10,BAIK
2017-01-11,DKI1 (Bunderan HI),25,32,25,20,2,32.0,SO2,BAIK
2017-01-12,DKI1 (Bunderan HI),29,32,23,17,2,32.0,SO2,BAIK
2017-01-13,DKI1 (Bunderan HI),29,32,19,12,1,32.0,SO2,BAIK
2017-01-14,DKI1 (Bunderan HI),22,31,17,13,1,31.0,SO2,BAIK
2017-01-15,DKI1 (Bunderan HI),27,32,16,17,1,32.0,SO2,BAIK
2017-01-16,DKI1 (Bunderan HI),---,---,---,---,---,0.0,,TIDAK ADA DATA
2017-01-17,DKI1 (Bunderan HI),---,---,---,---,---,0.0,,TIDAK ADA DATA
2017-01-18,DKI1 (Bunderan HI),24,28,19,14,1,28.0,SO2,BAIK
2017-01-19,DKI1 (Bunderan HI),24,---,16,14,1,24.0,PM10,BAIK
2017-01-20,DKI1 (Bunderan HI),18,---,15,10,1,18.0,PM10,BAIK
2017-01-21,DKI1 (Bunderan HI),35,---,18,15,1,35.0,PM10,BAIK
2017-01-22,DKI1 (Bunderan HI),54,---,20,16,2,54.0,PM10,SEDANG
2017-01-23,DKI1 (Bunderan HI),37,---,18,13,2,37.0,PM10,BAIK
2017-01-24,DKI1 (Bunderan HI),32,---,30,14,2,32.0,PM10,BAIK
2017-01-25,DKI1 (Bunderan HI),29,---,18,9,2,29.0,PM10,BAIK
2017-01-26,DKI1 (Bunderan HI),33,---,22,12,2,33.0,PM10,BAIK
2017-01-27,DKI1 (Bunderan HI),47,14,24,22,2,47.0,PM10,BAIK
2017-01-28,DKI1 (Bunderan HI),32,13,23,18,3,32.0,PM10,BAIK
2017-01-29,DKI1 (Bunderan HI),35,12,25,19,2,35.0,PM10,BAIK
2017-01-30,DKI1 (Bunderan HI),33,12,21,19,2,33.0,PM10,BAIK
2017-01-31,DKI1 (Bunderan HI),31,12,23,20,2,31.0,PM10,BAIK
2017-01-01,DKI2 (Kelapa Gading),52,21,11,61,11,61.0,O3,SEDANG
2017-01-02,DKI2 (Kelapa Gading),27,18,5,40,15,40.0,O3,BAIK
2017-01-03,DKI2 (Kelapa Gading),32,18,7,55,10,55.0,O3,SEDANG
2017-01-04,DKI2 (Kelapa Gading),23,19,---,61,15,61.0,O3,SEDANG
2017-01-05,DKI2 (Kelapa Gading),28,16,6,57,12,57.0,O3,SEDANG
2017-01-06,DKI2 (Kelapa Gading),29,17,11,62,13,62.0,O3,SEDANG
2017-01-07,DKI2 (Kelapa Gading),31,18,11,55,20,55.0,O3,SEDANG
2017-01-08,DKI2 (Kelapa Gading),28,19,7,52,14,52.0,O3,SEDANG
2017-01-09,DKI2 (Kelapa Gading),25,18,6,48,11,48.0,O3,BAIK
2017-01-10,DKI2 (Kelapa Gading),42,23,11,83,16,83.0,O3,SEDANG
